,index,School Name,School City,Institution Type,Total Students,% Male Students,% Female Students,% Caucasian Student,% African American Student,% Hispanic Student,% Asian Student,% American Indian and Alaska Native Student,% Native Hawaiian and Pacific Islander Student,% Two or More Race Student,% Non Resident Alien Student,% Unknown Student,Retention Rate,Share of Student Received Pell Grant,Overall Completion Rate,Completion rate of Caucasian Student,Completion rate of African American Student,Completion rate of Hispanic Student,Completion rate of Asian Student,Completion rate of American Indian/Alaska Native Student,Completion rate of Two or More Races Student,Completion rate of Non Tesident Alien Student
0,4,Bemidji State University,Bemidji,Public,3508.0,0.4265,0.5735,0.8093,0.0282,0.0294,0.0171,0.0359,0.0006,0.0527,0.0188,0.008,0.6728,0.5085452272,0.4759,0.4914,0.3,0.2857,0.3333,0.375,0.2963,0.5333
1,22,University of Minnesota-Crookston,Crookston,Public,1574.0,0.432,0.568,0.7541,0.0476,0.0515,0.0413,0.0089,0.0,0.0337,0.0349,0.028,0.6973,0.5157437568,0.5604,0.6144,0.25,0.3846,0.75,0.0,0.4286,0.6
2,26,University of Minnesota-Duluth,Duluth,Public,8084.0,0.5146,0.4854,0.8365,0.0241,0.0364,0.0338,0.0057,0.0001,0.0391,0.0101,0.0142,0.7731,0.3798052281,0.6467,0.6698,0.5818,0.3833,0.5256,0.5,0.5094,0.5556
3,27,The College of Saint Scholastica,Duluth,Private nonprofit,2134.0,0.3074,0.6926,0.8102,0.045,0.0366,0.0248,0.0112,0.0009,0.0281,0.0234,0.0197,0.8121,0.4405762305,0.6516,0.6758,0.3333,0.6471,0.625,0.0,0.3913,0.6667
4,43,Minnesota State University-Mankato,Mankato,Public,11500.0,0.4637,0.5363,0.7176,0.0607,0.0512,0.037,0.0031,0.0004,0.0352,0.0891,0.0057,0.747,0.457730812,0.5183,0.5462,0.3063,0.3984,0.4057,0.5,0.4318,0.5577
5,47,Augsburg University,Minneapolis,Private nonprofit,2346.0,0.442,0.558,0.4054,0.234,0.1347,0.1061,0.0072,0.0013,0.0567,0.0226,0.032,0.6935,0.6455893833,0.5807,0.6216,0.4921,0.5135,0.6364,0.3,0.7778,0.6667
6,49,University of Minnesota-Twin Cities,Minneapolis,Public,30734.0,0.4603,0.5397,0.6284,0.0712,0.0518,0.1181,0.0025,0.0005,0.0459,0.0618,0.0198,0.9152,0.4156382568,0.8421,0.8501,0.72,0.7681,0.8621,1.0,0.8051,0.8521
7,50,Minneapolis College of Art and Design,Minneapolis,Private nonprofit,667.0,0.3148,0.6852,0.6447,0.0645,0.1004,0.0855,0.024,0.0,0.042,0.021,0.018,0.7662,0.5012919897,0.6621,0.6735,0.75,0.6667,0.4286,1.0,0.625,0.5
8,59,Concordia College at Moorhead,Moorhead,Private nonprofit,1862.0,0.4441,0.5559,0.7889,0.0338,0.0242,0.0247,0.0086,0.0016,0.0183,0.0639,0.036,0.8173,0.3193277311,0.7423,0.7577,0.4545,0.7143,0.4545,1.0,0.6667,0.875
9,60,Minnesota State University Moorhead,Moorhead,Public,3778.0,0.378,0.622,0.8086,0.0492,0.0397,0.0161,0.0061,0.0005,0.0389,0.0349,0.0058,0.6872,0.4646840149,0.5692,0.6106,0.4545,0.4737,0.7,0.0,0.2727,0.5
